,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Knives Out,2019,131,8.0,82,214609,
1,Gisaengchung,2019,132,8.6,96,304643,
2,Jojo Rabbit,2019,108,8.0,58,156218,0.35
3,The Gentlemen,2020,113,8.1,51,49646,
4,1917,2019,119,8.4,78,212507,
5,Uncut Gems,2019,135,7.6,90,117650,
6,Once Upon a Time... in Hollywood,2019,161,7.7,83,404247,135.37
7,Joker,2019,122,8.6,59,707646,192.73
8,Little Women,2019,135,8.0,91,71094,
9,Ford v Ferrari,2019,152,8.1,81,162579,
10,The Lighthouse,2019,109,7.7,83,81480,0.43
11,The Irishman,2019,209,7.9,94,255564,
12,Avengers: Endgame,2019,181,8.5,78,677655,858.37
13,The Shawshank Redemption,1994,142,9.3,80,2197744,28.34
14,Blade Runner 2049,2017,164,8.0,81,416535,92.05
15,Marriage Story,2019,137,8.0,93,185640,
16,Toy Story 4,2019,100,7.8,84,162765,433.03
17,The Wolf of Wall Street,2013,180,8.2,75,1094046,116.9
18,Sen to Chihiro no kamikakushi,2001,125,8.6,96,591817,10.06
19,The Godfather,1972,175,9.2,100,1514308,134.97
20,The Dark Knight,2008,152,9.0,84,2179868,534.86
21,Titanic,1997,194,7.8,75,995761,659.33
22,The Green Mile,1999,189,8.6,61,1072596,136.8
23,Goodfellas,1990,146,8.7,90,956656,46.84
24,Baby Driver,2017,113,7.6,86,399796,107.83
25,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,596474,317.58
26,Back to the Future,1985,116,8.5,87,984276,210.61
27,Interstellar,2014,169,8.6,74,1381850,188.02
28,Casino Royale,2006,144,8.0,80,556980,167.45
29,Inception,2010,148,8.8,74,1928731,292.58
30,The Shining,1980,146,8.4,66,837139,44.02
31,Inglourious Basterds,2009,153,8.3,69,1186946,120.54
32,Pulp Fiction,1994,154,8.9,94,1727165,107.93
33,Green Book,2018,130,8.2,69,296316,85.08
34,Call Me by Your Name,2017,132,7.9,93,179726,18.1
35,The Matrix,1999,136,8.7,73,1582714,171.48
36,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1574405,315.54
37,Fight Club,1999,139,8.8,66,1755453,37.03
38,The Peanut Butter Falcon,2019,97,7.7,70,35075,13.12
39,Guardians of the Galaxy,2014,121,8.0,76,999034,333.18
40,Mission: Impossible - Fallout,2018,147,7.8,86,263901,220.16
41,Mad Max: Fury Road,2015,120,8.1,90,822932,154.06
42,Blade Runner,1982,117,8.1,84,657559,32.87
43,Saving Private Ryan,1998,169,8.6,91,1165935,216.54
44,Gone Girl,2014,149,8.1,79,801185,167.77
45,Good Will Hunting,1997,126,8.3,70,806811,138.43
46,Avengers: Infinity War,2018,149,8.5,68,751816,678.82
47,Dunkirk,2017,106,7.9,94,504225,188.37
48,Dazed and Confused,1993,102,7.6,78,154389,7.99
49,Bohemian Rhapsody,2018,134,8.0,49,411512,216.43
